user_id,gender,married,has_children,home_country,tenure,age,seats_avg,checked_bags_avg,overcarrier,total_trips,cancellation_rate,unique_flight_destination,taken_flights,frequent_destinations,sessions_booking_rate,discount_booking_rate,booked_flight,booked_hotel,group
353694,F,False,True,usa,1267,41,1.5,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
354050,F,False,False,usa,1267,51,1.2,0.2,False,5,0.0,5.0,5,1.0,0.625,0.4,True,True,singles
354260,F,False,False,usa,1267,51,1.0,1.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
354311,F,True,False,usa,1266,47,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
357737,F,True,True,usa,1264,43,1.0,0.0,False,5,0.2,3.0,4,0.75,0.6666666666666667,0.5,True,True,singles
359072,F,True,True,canada,1263,53,1.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.0,True,True,luxus
359080,F,True,False,usa,1263,43,1.25,1.0,False,4,0.0,4.0,4,1.0,0.5,0.25,True,True,singles
361459,F,True,True,usa,1261,43,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
372970,F,False,False,usa,1253,36,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
373489,F,True,True,usa,1253,39,4.0,3.0,False,1,0.0,1.0,1,1.0,0.1111111111111111,1.0,True,True,family_travelers
374331,M,False,False,usa,1252,44,,,,2,0.5,1.0,1,1.0,0.1666666666666666,0.0,False,True,low_income
374341,F,False,False,usa,1252,27,,,,3,0.0,,3,,0.375,0.0,False,True,low_income
375160,F,False,False,usa,1252,22,,,,0,,,0,,0.0,,False,False,no_booker
375729,F,False,False,usa,1251,54,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.6666666666666666,True,True,singles
375751,F,True,False,usa,1251,52,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
376159,F,False,False,usa,1251,44,1.0,1.0,False,2,0.0,1.0,2,0.5,0.25,0.0,True,True,low_income
377411,F,True,False,canada,1250,39,1.5,0.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
378565,F,True,True,usa,1249,42,1.0,0.5,False,5,0.0,2.0,5,0.4,0.625,0.4,True,True,singles
380434,F,True,True,usa,1248,51,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
380757,F,False,True,usa,1248,48,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
380949,F,False,False,usa,1248,48,1.0,0.25,False,5,0.2,4.0,4,1.0,0.6666666666666667,0.0,True,True,singles
382181,F,True,False,canada,1247,38,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,luxus
382384,F,True,False,usa,1247,58,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
382533,F,False,False,usa,1247,19,,,,0,,,0,,0.0,,False,False,young
386255,F,False,True,usa,1244,33,,,,1,0.0,,1,,0.125,0.0,False,True,low_income
386469,F,False,False,usa,1244,19,,,,0,,,0,,0.0,,False,False,young
388328,F,True,True,canada,1243,52,1.0,1.0,False,5,0.0,3.0,5,0.6,0.5555555555555556,0.4,True,True,luxus
388947,M,False,False,usa,1243,42,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.3333333333333333,0.3333333333333333,True,True,luxus
389434,F,False,False,usa,1242,43,1.0,0.25,False,5,0.2,4.0,4,1.0,0.6666666666666667,0.25,True,True,singles
389662,F,False,False,usa,1242,40,1.0,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,singles
389759,F,False,True,usa,1242,34,1.6666666666666667,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
390811,F,False,False,usa,1242,42,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
392453,F,False,False,usa,1241,59,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,1.0,True,True,low_income
395981,F,True,False,canada,1239,53,1.3333333333333333,1.0,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,luxus
399218,F,True,True,usa,1236,45,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
402332,F,False,False,usa,1235,34,1.5,0.0,False,2,0.0,2.0,2,1.0,0.25,1.0,True,True,low_income
403881,F,False,False,usa,1234,46,1.5,0.75,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
404879,F,True,False,usa,1233,40,1.25,0.5,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
407275,F,False,False,usa,1232,44,1.0,0.5,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
408551,F,True,True,usa,1231,45,1.0,0.5,False,2,0.0,2.0,2,1.0,0.2222222222222222,0.0,True,True,low_income
409073,F,True,False,usa,1231,44,1.0,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.0,True,True,singles
413340,F,True,True,usa,1228,49,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
413658,F,True,True,usa,1228,53,1.0,1.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.0,True,True,low_income
415381,F,True,False,usa,1227,48,1.0,1.0,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
416319,F,True,False,usa,1227,57,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
418692,F,False,False,usa,1226,41,2.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.2857142857142857,1.0,True,True,low_income
420669,F,True,True,canada,1225,53,1.0,1.0,False,4,0.5,2.0,2,1.0,0.5,0.0,True,True,luxus
422668,F,False,False,usa,1223,19,,,,0,,,0,,0.0,,False,False,young
424553,F,True,False,usa,1222,51,1.0,1.0,False,3,0.0,1.0,3,0.3333333333333333,0.375,0.0,True,True,singles
425632,F,True,False,usa,1222,47,1.0,0.5,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,singles
425953,F,True,False,usa,1221,39,1.75,0.0,False,4,0.0,2.0,4,0.5,0.5,0.25,True,True,singles
425966,F,True,False,usa,1221,58,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
428552,F,True,False,usa,1220,39,1.0,0.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
428858,F,False,False,usa,1220,23,1.0,1.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.0,True,True,low_income
429345,M,True,True,usa,1220,68,,,,1,0.0,,1,,0.125,1.0,False,True,seniors
429375,F,False,False,usa,1220,35,1.0,1.0,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.0,True,True,low_income
430722,M,False,False,usa,1219,30,1.0,1.0,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.5,True,True,luxus
431746,F,False,False,usa,1218,42,2.0,2.0,False,1,0.0,1.0,1,1.0,0.125,1.0,True,True,low_income
431899,F,True,False,usa,1218,45,,,,1,1.0,1.0,0,inf,0.0,,False,False,no_booker
431912,F,False,True,usa,1218,37,2.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,False,low_income
432333,F,True,True,usa,1218,51,1.0,1.0,False,2,0.0,1.0,2,0.5,0.25,0.5,True,True,low_income
433339,F,False,True,usa,1217,27,1.0,1.0,False,2,0.0,1.0,2,0.5,0.25,0.5,True,True,low_income
435596,F,False,False,usa,1216,55,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
435882,F,True,False,usa,1216,53,1.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.2857142857142857,0.0,True,True,low_income
436320,F,True,True,usa,1216,51,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,1.0,True,True,low_income
436894,F,True,False,usa,1215,43,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
437069,F,False,False,usa,1215,45,1.2,0.6,False,5,0.0,5.0,5,1.0,0.625,0.4,True,True,singles
437162,F,False,False,usa,1215,32,1.0,1.0,False,2,0.5,1.0,1,1.0,0.1666666666666666,1.0,True,True,low_income
437251,F,False,False,canada,1215,45,1.0,0.3333333333333333,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.0,True,True,luxus
438189,F,True,False,usa,1215,38,1.1666666666666667,0.8333333333333334,False,6,0.0,6.0,6,1.0,0.6666666666666667,0.1666666666666666,True,True,singles
438839,F,False,True,usa,1214,51,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
438985,F,False,False,usa,1214,32,1.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.5,True,True,low_income
440212,F,True,True,usa,1214,41,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,1.0,True,True,low_income
441205,F,True,True,usa,1213,48,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,False,low_income
441982,F,False,False,usa,1213,49,1.4,0.4,False,5,0.0,4.0,5,0.8,0.625,0.4,True,True,singles
442484,F,True,False,usa,1212,45,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
442718,F,True,True,usa,1212,50,1.25,0.25,False,4,0.0,4.0,4,1.0,0.5,0.5,True,True,singles
442833,F,True,False,canada,1212,41,1.25,0.25,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,luxus
443305,F,False,False,usa,1212,23,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
444885,F,True,False,usa,1211,34,1.0,2.0,True,1,0.0,1.0,1,1.0,0.125,0.0,True,True,overcarriers
446138,F,True,False,usa,1211,41,1.0,0.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.5,True,True,low_income
447737,F,False,False,canada,1210,44,1.3333333333333333,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,luxus
448025,F,False,False,canada,1210,31,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
448154,F,False,False,usa,1209,57,3.0,0.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
448295,M,True,False,usa,1209,53,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
449326,F,False,False,canada,1209,40,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
450164,F,True,False,usa,1208,39,1.5,0.5,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
450193,F,False,False,canada,1208,37,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
451291,F,True,False,usa,1208,56,1.25,0.5,False,4,0.0,4.0,4,1.0,0.4444444444444444,0.5,True,True,singles
452034,F,False,False,usa,1207,51,1.0,1.0,False,3,0.6666666666666666,2.0,1,2.0,0.25,0.0,True,True,low_income
452532,F,False,False,usa,1207,34,1.0,1.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.5,True,False,low_income
452594,F,False,True,usa,1207,46,1.0,0.3333333333333333,False,4,0.0,3.0,4,0.75,0.5,0.25,True,True,singles
453168,F,True,False,usa,1207,48,1.0,0.5,False,4,0.0,4.0,4,1.0,0.4444444444444444,0.25,True,True,singles
454934,F,True,False,usa,1206,44,1.0,0.5,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.0,True,True,low_income
456318,F,False,False,usa,1205,32,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
456663,F,True,True,usa,1205,39,1.0,1.5,True,2,0.0,2.0,2,1.0,0.25,0.5,True,True,family_travelers
456671,F,False,False,usa,1205,39,1.0,2.0,True,1,0.0,1.0,1,1.0,0.125,0.0,True,True,overcarriers
457468,F,True,False,usa,1205,42,2.0,2.0,False,4,0.0,2.0,4,0.5,0.5,0.5,True,True,singles
458479,F,False,False,usa,1204,47,1.0,1.0,False,4,0.5,3.0,2,1.5,0.5,0.5,True,True,singles
458725,F,False,False,usa,1204,19,,,,0,,,0,,0.0,,False,False,young
458762,F,True,True,canada,1204,41,1.0,1.0,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.0,True,True,luxus
458814,F,False,False,usa,1204,34,1.6666666666666667,0.0,False,4,0.0,3.0,4,0.75,0.5,1.0,True,True,singles
458855,F,True,True,usa,1204,32,1.5,0.5,False,2,0.0,2.0,2,1.0,0.2222222222222222,0.5,True,True,family_travelers
458919,F,False,False,usa,1204,38,1.0,1.5,True,2,0.0,2.0,2,1.0,0.25,0.0,True,True,overcarriers
459229,F,True,False,usa,1204,43,1.75,0.5,False,4,0.0,4.0,4,1.0,0.5,0.75,True,True,singles
460072,M,False,False,usa,1203,51,1.0,0.0,False,2,0.0,1.0,2,0.5,0.25,0.5,True,True,low_income
460553,F,True,True,usa,1203,56,1.0,1.0,False,3,0.0,1.0,3,0.3333333333333333,0.375,0.0,True,True,low_income
461559,F,False,False,canada,1203,34,1.0,0.5,False,4,0.0,4.0,4,1.0,0.5,0.5,True,True,luxus
462894,F,False,False,usa,1202,53,1.0,1.0,False,1,0.0,1.0,1,1.0,0.1111111111111111,0.0,True,False,low_income
463783,F,False,False,usa,1201,52,1.0,0.6666666666666666,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.25,True,True,singles
463867,F,False,False,usa,1201,33,1.0,1.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
464080,F,True,False,canada,1201,72,1.0,2.0,True,1,0.0,1.0,1,1.0,0.125,0.0,True,True,seniors
464239,F,False,False,usa,1201,51,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
465138,F,False,False,usa,1201,39,1.0,0.75,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
465343,F,True,True,usa,1201,54,1.5,1.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
465531,F,True,False,usa,1201,36,1.0,0.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
465568,F,True,True,usa,1201,51,,,,1,0.0,,1,,0.125,1.0,False,True,low_income
465731,F,False,False,usa,1200,58,1.0,0.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.0,True,True,low_income
467339,F,False,True,usa,1200,44,1.3333333333333333,1.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
467809,F,False,True,usa,1199,48,1.0,0.3333333333333333,False,3,0.0,3.0,3,1.0,0.375,0.6666666666666666,True,True,singles
467892,F,False,False,usa,1199,33,1.0,0.0,False,5,0.2,4.0,4,1.0,0.6666666666666667,0.25,True,True,singles
468409,F,True,False,usa,1199,51,1.0,0.75,False,5,0.2,5.0,4,1.25,0.5714285714285714,0.25,True,True,singles
468832,F,True,False,canada,1199,39,1.0,0.6666666666666666,False,5,0.2,4.0,4,1.0,0.6666666666666667,0.0,True,True,luxus
469464,F,True,False,usa,1199,48,2.0,1.5,False,4,0.0,2.0,4,0.5,0.5,0.5,True,True,singles
469699,F,True,True,usa,1198,56,1.0,2.0,True,2,0.0,1.0,2,0.5,0.2222222222222222,0.0,True,True,overcarriers
469824,F,False,False,usa,1198,53,1.0,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,singles
471161,F,False,False,usa,1198,42,1.5,1.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
471186,F,True,False,usa,1198,51,1.0,0.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
471649,F,True,True,usa,1197,49,,,,1,0.0,,1,,0.125,1.0,False,True,low_income
471687,F,True,False,usa,1197,43,1.25,0.5,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.0,True,True,singles
471935,F,True,False,usa,1197,50,1.5,0.0,False,3,0.0,2.0,3,0.6666666666666666,0.3333333333333333,0.0,True,True,singles
471946,F,True,True,usa,1197,47,,,,1,0.0,,1,,0.125,0.0,False,True,low_income
472394,F,False,False,usa,1197,44,1.0,1.0,False,2,0.0,1.0,2,0.5,0.25,0.0,True,True,low_income
473847,F,False,True,usa,1196,33,2.0,1.0,False,1,0.0,1.0,1,1.0,0.125,1.0,True,True,low_income
474007,F,False,False,usa,1196,19,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,young
474120,M,False,True,canada,1196,45,1.3333333333333333,0.3333333333333333,False,4,0.25,4.0,3,1.3333333333333333,0.5,0.0,True,True,luxus
474239,F,True,True,usa,1196,27,,,,1,1.0,1.0,0,inf,0.0,,False,False,family_travelers
474278,F,False,False,usa,1196,26,,,,0,,,0,,0.0,,False,False,no_booker
475060,F,False,False,usa,1196,33,1.0,1.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
475467,F,False,False,usa,1196,37,1.0,1.0,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,singles
475531,F,False,False,usa,1196,39,1.0,0.75,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.0,True,True,singles
476104,F,False,True,usa,1195,52,1.0,1.1666666666666667,True,7,0.0,5.0,7,0.7142857142857143,0.875,0.0,True,True,overcarriers
476124,F,False,False,canada,1195,36,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.3333333333333333,True,True,luxus
476270,M,False,False,canada,1195,52,1.0,0.5,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.0,True,True,luxus
476535,F,False,True,canada,1195,50,1.0,0.75,False,4,0.0,4.0,4,1.0,0.5,0.25,True,True,luxus
476956,F,False,False,canada,1195,29,1.0,0.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.0,True,True,luxus
477285,F,True,False,usa,1195,53,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
477730,F,False,False,usa,1194,47,1.2,0.0,False,5,0.0,4.0,5,0.8,0.625,0.2,True,True,singles
477805,F,False,False,usa,1194,35,,,,1,0.0,,1,,0.125,0.0,False,True,low_income
478291,F,True,True,usa,1194,48,1.0,1.0,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
478533,F,True,False,usa,1194,50,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
478801,F,True,False,usa,1194,51,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.3,0.0,True,True,singles
478834,M,False,True,usa,1194,42,,,,0,,,0,,0.0,,False,False,no_booker
480186,F,False,False,usa,1193,26,,,,0,,,0,,0.0,,False,False,no_booker
480690,F,False,False,usa,1193,49,1.0,0.5,False,4,0.0,4.0,4,1.0,0.5,0.5,True,True,singles
480877,F,True,False,usa,1193,50,1.25,1.0,False,4,0.0,3.0,4,0.75,0.5,0.5,True,True,singles
480975,F,True,False,canada,1193,72,,,,0,,,0,,0.0,,False,False,seniors
481772,F,False,False,usa,1192,35,1.0,1.0,False,3,0.0,1.0,3,0.3333333333333333,0.375,0.6666666666666666,True,True,low_income
481781,F,False,False,usa,1192,77,,,,0,,,0,,0.0,,False,False,seniors
482335,F,False,False,usa,1192,44,,,,1,0.0,,1,,0.1111111111111111,0.0,False,True,low_income
482424,F,False,False,usa,1192,42,1.3333333333333333,0.6666666666666666,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.25,True,True,singles
482548,F,False,True,usa,1192,30,1.0,0.6666666666666666,False,4,0.25,4.0,3,1.3333333333333333,0.5,0.0,True,True,singles
482602,F,False,False,usa,1192,46,1.75,0.5,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
483483,F,True,True,canada,1191,47,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,low_income
483525,F,True,True,canada,1191,47,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
483982,F,False,False,usa,1191,20,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.0,True,True,young
484418,F,True,False,usa,1191,39,1.0,0.6666666666666666,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
485393,F,False,False,usa,1191,28,,,,1,1.0,1.0,0,inf,0.0,,False,False,no_booker
485505,F,False,False,usa,1190,29,1.5,1.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
485658,F,False,False,usa,1190,34,1.0,1.0,False,3,0.3333333333333333,2.0,2,1.0,0.3333333333333333,0.0,True,True,low_income
485780,F,False,True,usa,1190,41,1.0,0.5,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,singles
485785,F,False,False,usa,1190,32,1.0,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.0,True,True,singles
485891,F,False,True,usa,1190,35,1.0,0.0,False,2,0.5,1.0,1,1.0,0.1666666666666666,1.0,True,True,low_income
486113,F,True,False,canada,1190,50,1.0,0.5,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
486366,F,True,False,usa,1190,49,1.0,1.0,False,3,0.0,1.0,3,0.3333333333333333,0.375,0.0,True,True,singles
486454,M,True,True,usa,1190,47,1.0,0.0,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,luxus
486605,F,False,False,usa,1190,31,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,1.0,True,True,low_income
486751,F,True,False,usa,1190,51,1.6666666666666667,0.6666666666666666,False,4,0.25,4.0,3,1.3333333333333333,0.375,0.6666666666666666,True,True,singles
487002,F,False,False,usa,1190,22,1.0,0.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
487352,F,False,True,usa,1190,19,1.0,0.0,False,2,0.0,1.0,2,0.5,0.25,0.5,True,True,young
487453,F,False,False,usa,1189,44,1.2,0.4,False,6,0.1666666666666666,6.0,5,1.2,0.8333333333333334,0.6,True,True,singles
487637,M,False,True,usa,1189,53,1.0,0.5,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,luxus
488099,F,False,False,usa,1189,19,,,,0,,,0,,0.0,,False,False,young
488672,F,True,False,usa,1189,51,1.3333333333333333,0.6666666666666666,False,4,0.0,2.0,4,0.5,0.5,0.5,True,True,singles
488827,F,False,False,usa,1189,38,1.1666666666666667,0.3333333333333333,False,6,0.0,6.0,6,1.0,0.75,0.5,True,True,singles
488865,F,False,False,canada,1189,37,1.0,1.0,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,luxus
488870,F,True,True,usa,1189,60,1.0,1.0,False,3,0.3333333333333333,2.0,2,1.0,0.2857142857142857,0.0,True,True,low_income
488918,F,False,False,usa,1189,49,1.3333333333333333,0.5,False,6,0.0,6.0,6,1.0,0.75,0.3333333333333333,True,True,singles
489096,F,False,False,usa,1189,40,1.3333333333333333,0.0,False,3,0.0,3.0,3,1.0,0.375,0.0,True,True,singles
489131,F,False,False,usa,1189,25,,,,0,,,0,,0.0,,False,False,no_booker
489575,F,True,True,canada,1188,47,1.0,0.75,False,4,0.0,3.0,4,0.75,0.4444444444444444,0.0,True,True,luxus
489730,F,False,False,usa,1188,45,1.0,0.5,False,4,0.0,4.0,4,1.0,0.5,0.0,True,True,singles
489785,F,True,True,usa,1188,39,1.3333333333333333,0.3333333333333333,False,3,0.0,2.0,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,True,True,family_travelers
489949,F,False,True,usa,1188,50,2.0,0.0,False,3,0.3333333333333333,3.0,2,1.5,0.3333333333333333,0.0,True,True,low_income
489992,M,False,False,usa,1188,31,2.0,0.5,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,luxus
490201,F,False,True,usa,1188,44,1.0,1.0,False,2,0.0,2.0,2,1.0,0.25,0.5,True,True,low_income
490348,F,False,False,usa,1188,40,1.0,1.0,False,1,0.0,1.0,1,1.0,0.125,0.0,True,True,low_income
490517,F,True,True,usa,1188,53,1.3333333333333333,1.0,False,3,0.0,2.0,3,0.6666666666666666,0.375,0.3333333333333333,True,True,singles
